id,name,type,card_category,industry,tier,cost,income,valuation_points,upkeep,net_income,mode,exit_value,tempo,staff_min,staff_opt,income_scaled,income_opt,trend_track,synergy_gives,synergy_receives,license,location_requirement,special_rule,time_delay,effort,likelihood,hormozi_value,roi,efficiency,total_launch_cost,staff_hire_cost,max_income,avg_income,effective_roi,payback_breaks,synergy_output,synergy_input,synergy_links,complexity_score,hormozi_v2,tag_count,requirement_count,synergy_count,status,version,immediate_effect,ongoing_effect,tags,requirements,synergies,flavor_text,balance_notes
BUS-FOOD-001,Coffee Cart,Business,Business,Food,Starter,3.0,2.0,2.0,0.0,2.0,Physical,2.0,Tendencia,1.0,,,,+2 / +1 / +0,Tráfico -> +1 Bono de Pausa,,,,,0.0,1.0,7.0,14.0,0.667,1.333,5.0,1.0,4.0,3.0,0.6,1.67,1,0,1,2,2.8,0,0,1,draft,2,,Entra con ingreso base 2k/Break y token +2 / +1 / +0.,[],[],['Tráfico'],Captura tráfico diario con una operación mínima y muy visible.,Starter Tendencia food opener. No óptimo line to keep early staffing simple.
BUS-FOOD-002,Food Truck,Business,Business,Food,Starter,4.0,3.0,2.0,0.0,3.0,Physical,2.0,Tendencia,1.0,,,,+2 / +1 / +0,,,,Barrio / Intermedia,Puede cambiar de zona 1 vez por trimestre.,0.0,1.0,7.0,14.0,0.75,1.25,6.0,1.0,5.0,4.0,0.667,1.5,0,0,0,3,2.33,0,0,0,draft,2,,Entra con ingreso base 3k/Break y token +2 / +1 / +0.,[],[],[],No espera a los clientes: va donde está la cola.,Drops printed synergy to stay within the two-complication budget while keeping mobility as the identity.
BUS-FOOD-003,Cafe,Business,Business,Food,Established,7.0,4.0,4.0,0.0,4.0,Physical,4.0,Tendencia,2.0,3.0,,5.0,+2 / +1 / +0,,Tráfico -> +1 Bono de Pausa,,,,0.0,2.0,7.0,28.0,0.571,1.143,9.0,2.0,6.0,5.0,0.556,1.8,0,1,1,4,3.11,0,0,1,draft,2,,Entra con ingreso base 4k/Break y token +2 / +1 / +0.,[],[],['Tráfico'],La rutina diaria de miles de personas puede ser tu mejor motor.,Drops location to stay within the complexity cap.
BUS-FOOD-004,Ghost Kitchen,Business,Business,Food,Established,6.0,4.0,4.0,0.0,4.0,Digital,4.0,Escala,2.0,,6.0,,,,Tecnología -> +1 crecimiento,,,,0.0,1.0,7.0,28.0,0.667,1.333,6.0,2.0,6.0,5.0,0.833,1.2,0,1,1,2,4.67,0,0,1,draft,2,,Entra en 4k/Break. Con 2 crecimientos pasa a 6k/Break.,[],[],['Tecnología'],"La cocina existe. El local, no hace falta.",Modern food contrast piece: digital fulfillment instead of physical traffic.
BUS-FOOD-005,Bakery,Business,Business,Food,Starter,4.0,3.0,2.0,0.0,3.0,Physical,2.0,Estable,2.0,,,,,Tráfico -> +1 Bono de Pausa,,,,,0.0,1.0,9.0,18.0,0.75,1.25,6.0,2.0,3.0,3.0,0.5,2.0,1,0,1,1,3.0,0,0,1,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],['Tráfico'],"Producto diario, clientela diaria, caja diaria.",Stable food anchor kept simple on minimum staffing only.
BUS-FOOD-007,Restaurant,Business,Business,Food,Premium,11.0,6.0,7.0,0.0,6.0,Physical,7.0,Estable,3.0,4.0,,8.0,,Prestigio -> +1 Marca,,,,,0.0,2.0,8.0,56.0,0.545,1.182,13.0,3.0,6.0,6.0,0.462,2.17,1,0,1,3,4.31,0,0,1,draft,2,,"Genera 6k/Break. Si alcanza óptimo, sube a 8k/Break.",[],[],['Prestigio'],No vende solo platos: vende una experiencia que se recuerda.,Drops location to respect the printed complexity budget.
BUS-FOOD-009,Restaurant Group,Business,Business,Food,Empire,18.0,8.0,11.0,0.0,8.0,Physical,11.0,Escala,4.0,5.0,12.0,12.0,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,0.0,3.0,6.0,66.0,0.444,1.056,20.0,4.0,12.0,10.0,0.5,2.0,0,1,1,4,3.3,0,1,1,draft,2,,Entra en 8k/Break. Con 2 crecimientos pasa a 12k/Break.,[],['2 negocios Food activos'],['Suministro'],"Cuando los procesos aguantan, la marca deja de ser un local y pasa a ser un sistema.",Absorbs the old franchise cluster into a normal Food empire card.
BUS-PROFESSIONAL-001,Law Firm,Business,Business,Professional,Premium,11.0,7.0,7.0,0.0,7.0,Physical,7.0,Estable,2.0,3.0,,8.0,,,,Legal,,,0.0,2.0,8.0,56.0,0.636,1.273,13.0,2.0,7.0,7.0,0.538,1.86,0,0,0,3,4.31,0,1,0,draft,2,,"Genera 7k/Break. Si alcanza óptimo, sube a 8k/Break.",[],['Licencia: Legal'],[],"Cuando el cliente paga por seguridad jurídica, paga por reputación y rigor.",Removes printed synergy so the card stays at license + óptimo.
BUS-PROFESSIONAL-003,Freelance Consultant,Business,Business,Professional,Starter,3.0,3.0,2.0,0.0,3.0,Digital,2.0,Estable,1.0,,,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,,,,0.0,1.0,9.0,18.0,1.0,1.667,3.0,1.0,3.0,3.0,1.0,1.0,1,0,1,1,6.0,0,0,1,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],['Experiencia'],Tu experiencia es el producto. Tu cuello de botella también.,Simple solo-professional cash anchor.
BUS-PROFESSIONAL-004,Bookkeeping Office,Business,Business,Professional,Starter,4.0,4.0,2.0,0.0,4.0,Digital,2.0,Estable,1.0,,,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,Finanzas,,,0.0,1.0,9.0,18.0,1.0,1.5,4.0,1.0,4.0,4.0,1.0,1.0,1,0,1,2,4.5,0,1,1,draft,2,,Genera 4k/Break sin subestado adicional.,[],['Licencia: Finanzas'],['Experiencia'],"Los cierres limpios no hacen ruido, pero sostienen empresas enteras.",Starter finance-enabler with no extra complexity.
